8863	1339
4906	18605
6390	4681
11157	10032
15200	17674
12478	19648
2521	4292
11677	4443
9090	16955
1405	14457
148	3997
13677	12025
7076	372
14751	9500
2119	15357
11201	6706
9794	2187
7468	13377
15348	17465
10481	6792
1128	8274
2625	11872
9980	16328
641	133
12627	4767
13340	9938
4620	8161
5758	5897
1363	16545
2072	13352
9737	18669
12702	5755
9311	11109
5381	4856
10182	9197
11644	12331
12708	9051
13044	16090
11650	2277
3558	13416
5534	7532
3408	13393
5776	10983
9861	17366
15381	8184
14786	18515
7161	13948
6020	9036
11061	13599
9273	18179
10714	18819
8514	18679
8011	9454
12424	4601
7315	8500
12695	3627
4452	15936
5992	19838
11591	5053
13088	16955
1782	12791
15856	2235
6211	10604
1736	5658
14244	13345
10672	8142
1567	11955
12620	14457
8612	2803
14423	19495
8294	3550
14146	6053
11650	19667
14493	3709
12618	14449
12681	977
14898	12360
14289	13691
2536	15887
13745	2677
4166	1963
9925	7418
12478	12722
13095	7506
5006	773
7518	13267
5977	15676
4530	10490
2833	6463
4149	9300
12763	14793
1362	12802
11011	6522
1977	18486
3110	827
6354	4828
10282	17465
3818	17400
13289	18186
12489	15456
11121	13672
5661	18701
4638	11362
13029	589
5646	8161
4826	13495
7066	18927
2884	18551
13044	3488
6985	9561
14393	6306
9794	6113
15481	16939
9164	11613
6390	7222
346	9197
12292	5198
8961	10246
1650	18588
6184	2112
11974	18764
4496	2878
9027	18131
14880	16243
11174	454
403	14550
2732	20038
8871	12262
9474	9761
11130	12980
8995	14793
15186	13280
10114	7418
9066	4348
10154	5123
15750	13141
3955	17393
1206	7563
12790	9197
11344	15520
13035	16263
1324	15791
8121	14457
12478	20105
492	10431
6402	4043
9691	18561
8710	14873
2229	13409
13882	2159
15542	9419
221	16815
2671	13411
15684	16714
11821	1807
13794	13571
5006	15897
2392	6734
15358	19627
15268	4863
5139	12825
8839	16590
1799	6658
2844	16975
5708	9376
13018	15003
11393	8895
14506	6156
4141	10749
8502	1183
12117	16310
12438	9750
444	2680
6488	20178
10101	8184
2315	14513
8508	10502
13933	9172
11061	12307
12102	17627
2733	7950
8298	12475
2662	3864
6424	10622
11090	10696
9819	7795
580	11152
12678	982
14886	19101
4585	729
15242	6463
8958	18264
7778	14658
5016	10576
4062	1863
2500	7043
15254	8862
13982	3461
9169	8390
15548	16141
4566	4671
10061	8637
803	11374
7856	17429
15663	7683
3015	6238
6352	6105
11993	7739
10952	9589
15217	2085
7502	12002
5353	6247
11870	3039
14729	6550
9382	7222
14815	4344
3665	11137
1890	372
11980	19243
6867	800
10734	16275
4350	9752
14781	13815
4622	14894
5518	10473
14842	2087
6480	3007
770	19050
15810	17548
571	16875
14007	3000
7414	3092
1129	13368
14544	10780
15566	16243
6978	8251
13450	12091
10734	15576
10161	15169
1244	7860
10128	10370
13341	11204
6463	13008
11988	9542
4041	12415
1405	2083
15251	8044
13658	5198
15719	2731
10986	3466
3025	6575
3473	11396
15775	10264
6140	13879
14986	10990
7190	18704
14688	10107
10670	4873
5116	6827
13412	7483
8465	7376
1010	20005
5566	6971
14282	3012
12078	609
12429	13021
10952	4808
6287	12825
8017	14944
7468	15056
12215	12439
9474	1628
10814	6655
15346	9419
962	1691
6381	14329
6296	16955
10328	11863
12951	130
4561	16218
12064	15676
1871	17379
1030	15914
11598	19223
14614	14943
11059	10228
11992	7172
2283	12314
15179	546
11187	12258
5445	15001
10039	20277
15411	8952
740	17400
15374	11240
2853	16043
3107	10185
2567	18564
574	9081
5694	18613
10221	4288
12884	11240
12425	9617
7562	18717
6831	14049
14150	9711
13770	5030
9825	10501
10399	68
8069	18689
7719	5595
4610	15918
416	10431
13043	14421
5230	20216
15839	8896
15704	5686
11784	11598
5456	3283
15012	19165
9444	16645
4301	3911
7120	19137
8279	8034
10785	2860
13240	3795
11018	8900
4876	11597
10663	159
14282	8637
5220	4417
4027	11892
3901	4348
12301	16243
11689	14136
918	4320
4581	16328
4757	13495
13909	16293
3524	594
11427	2629
15616	4178
11878	18395
14419	18208
2218	14606
3276	104
3566	913
6488	15492
11199	4549
270	13959
3444	49
5291	9474
7583	19101
7502	11997
6623	16158
9863	6472
4181	12651
1827	3277
13430	10501
5183	12376
10291	834
12178	4759
6220	1658
3444	9039
1742	10492
7740	10599
15750	731
13709	17861
15856	16980
12199	19563
13025	6439
752	2584
14493	6158
13983	9500
1183	11634
15255	3603
4081	4640
11241	11348
3292	13977
11686	16243
15358	9081
11551	12514
5654	3855
4813	18900
9765	7007
4530	1791
11470	15295
5068	11770
15790	11416
10744	9247
13331	10990
2536	19915
3083	7457
4208	10749
3811	15020
13477	3000
65	18560
8968	204
10583	6055
12449	4194
6787	20007
11869	16900
13651	11675
10749	15001
7120	452
13305	1543
5947	15913
653	5439
12069	2020
7510	9879
6632	8450
14785	3137
12713	11578
9081	15327
8353	3206
13631	9454
11863	108
13316	6673
1980	16243
15789	5660
7553	4799
5823	2979
8966	6530
9153	9675
1630	17504
15440	12439
11747	2283
1353	19438
10369	3925
9019	11142
14625	8275
1828	11240
3426	14626
14970	5779
1353	14650
16	9500
6912	11240
7120	4873
