6529	590
5120	432
14003	203
8634	500
1898	201
8634	363
10315	128
13082	590
558	262
5941	110
7588	153
8740	28
5545	222
2691	306
6211	531
6169	283
8404	20
8446	432
5550	208
4566	109
4470	367
6889	110
9795	531
3824	140
3922	140
8492	392
1400	368
8634	242
4639	101
8634	502
2226	273
10667	347
9129	250
5804	169
9659	27
9418	457
13953	631
11906	325
1857	107
7582	30
15628	399
509	531
1454	319
11999	126
11999	198
14963	236
11723	335
10473	123
2464	91
12794	16
5618	289
12711	397
8634	460
10836	424
8634	28
5571	618
1039	399
8878	349
3887	392
15536	75
5545	330
2813	311
10427	335
12185	161
2706	274
1090	133
14307	201
12811	242
8740	138
14422	365
1564	491
6278	424
8634	287
1014	544
6997	517
11999	57
11265	148
8922	309
5058	381
106	121
8639	363
3698	81
10652	254
9172	443
10898	269
14307	105
4769	233
12747	96
13409	89
12747	99
6418	30
9169	75
6381	269
4973	421
15171	222
10685	254
5545	158
12372	201
5819	273
4639	107
7834	242
15906	432
11657	283
8922	311
4024	121
5788	205
12608	200
11199	126
3604	246
11070	200
5089	247
9795	532
3074	200
12711	143
14422	273
1273	153
10473	138
11969	408
1564	364
12971	196
9164	25
12922	6
11898	126
8634	10
4759	188
13082	143
5804	201
7582	4
13409	6
11265	138
4639	370
3961	188
509	187
9172	380
8634	126
6381	221
5545	101
2706	273
7582	311
10159	254
15723	126
1090	458
9418	222
4270	364
13409	121
12808	457
5819	490
10315	397
9795	155
2407	309
11830	197
2363	287
998	349
13249	89
13249	25
6395	285
11704	606
9659	271
14307	592
4281	99
2498	267
15354	491
4920	274
10315	230
1755	445
8634	325
12866	227
14963	367
9319	257
6529	308
2691	432
1926	544
13987	269
5630	491
1564	622
7200	4
5545	88
13762	109
1400	287
5816	616
14375	200
243	132
15156	392
15221	344
8639	254
8208	349
4299	531
6395	30
9650	123
12649	69
9107	257
7200	16
11244	373
15354	488
2226	197
14488	231
10612	101
5804	246
12811	218
2148	138
5089	399
1854	16
12298	10
5120	335
4711	10
10159	413
1854	2
3330	393
9107	75
10363	448
13417	121
12214	97
13762	491
7318	107
2226	325
1854	457
9084	10
4639	380
1456	183
7582	55
5560	321
13762	274
7521	110
6	254
4941	246
15189	88
9440	143
5571	619
4024	269
5082	367
8405	235
9319	333
5120	382
4299	116
7047	606
11898	257
5089	502
10930	163
5545	269
13992	28
9029	456
6515	66
13762	128
10019	27
9617	57
11648	16
11437	321
12000	246
4711	13
13987	349
13987	134
46	349
14566	28
12724	321
3310	321
10159	253
13843	619
14307	285
9907	445
1159	272
14345	399
3033	363
1564	25
8634	631
5630	375
7975	231
7863	10
9052	309
11898	631
9795	318
2924	140
5434	412
7834	46
6418	54
3521	397
3452	445
2691	619
4769	445
4024	370
14992	133
13192	440
11657	280
2898	140
8441	257
4639	230
4169	103
6516	253
13082	397
4839	168
10930	356
13249	606
2464	491
8634	285
12811	273
998	309
1795	408
2305	363
14003	440
5545	164
13249	269
8639	103
7582	336
675	363
6441	190
5120	27
5120	397
13417	123
1742	403
2226	163
12859	531
2226	250
13987	273
8669	95
15153	242
11648	2
3558	226
8137	397
675	272
5092	531
7582	8
6211	173
11999	200
8634	6
13316	393
3251	368
7834	364
13762	8
584	138
10427	16
10368	8
2706	272
5120	99
11244	543
4024	436
12747	169
10019	213
15156	246
2691	354
9714	100
6653	138
7661	169
6366	188
15354	489
15874	196
5862	432
5733	365
5630	344
4024	88
7047	126
10473	140
3300	242
3506	188
13987	236
5545	440
11898	183
10019	214
15906	222
4639	235
6211	382
4024	222
1834	169
125	136
13987	27
15092	367
2432	20
2038	214
7589	134
1386	544
15723	150
8771	101
13762	592
9617	363
6700	445
11648	8
8634	200
106	440
9659	214
6366	269
9634	103
5630	412
15092	106
5179	311
1984	456
1159	274
4759	143
8634	397
6381	271
3506	397
7834	392
10898	152
4839	107
5630	161
3922	188
10315	140
2691	247
9164	126
15156	192
14375	397
4925	445
675	364
13987	222
9901	308
11044	155
7978	89
5230	336
15349	55
11019	136
6366	152
6317	99
9650	445
12082	213
5386	258
12608	183
6529	311
2407	443
8500	356
13918	55
9073	607
3300	240
6093	201
2815	356
8137	140
9129	252
875	491
4566	88
3140	138
2698	198
9073	231
6441	285
3880	335
3452	456
2713	531
4299	118
5545	6
2363	377
13987	75
14492	197
9460	460
8634	289
10315	218
14375	399
5120	236
11996	309
12747	97
7189	55
1121	109
7883	257
4024	75
13200	96
558	163
9554	250
11723	222
13987	100
11265	308
3604	308
5134	201
1984	216
15221	412
10473	132
4711	632
2963	367
13004	30
509	402
13992	190
12082	486
6679	287
11830	235
5771	618
2226	458
2363	389
4270	274
2924	271
13987	332
4639	216
12164	354
5230	350
9737	99
1755	138
2290	182
8740	23
5799	103
154	197
15189	402
5558	350
14375	250
825	28
14622	402
1456	363
2226	443
9685	132
14375	363
13987	88
9121	445
3211	531
1854	444
14823	412
11019	138
11352	311
10427	283
12825	460
4941	143
9164	486
5641	500
7200	10
10427	531
8102	242
7582	363
2976	140
8208	285
1031	309
11648	75
9172	168
11352	445
9901	311
14767	390
6700	140
2706	364
2038	622
10607	397
10607	222
14299	440
4024	349
10315	327
5733	272
9914	456
14422	214
4769	397
3278	333
1456	456
12922	2
1854	54
11265	197
12214	341
12298	616
1335	66
6395	138
13004	327
9100	109
3097	283
4771	227
1031	198
10427	285
5804	327
7200	2
12044	349
7200	339
15843	619
8186	252
4941	138
7834	488
8639	253
9546	238
7575	403
13762	490
6286	456
4326	54
4270	213
10952	138
12608	393
3310	202
6185	121
15153	246
14037	267
3851	341
4566	155
15843	350
15171	289
5197	321
2357	55
125	54
5545	590
5035	75
13987	271
13409	246
8711	318
1572	333
1984	632
13953	8
7582	456
7051	200
2924	169
10429	225
5545	118
8634	23
8634	110
7934	264
11336	460
13931	95
8634	590
2250	188
4737	216
1854	4
10473	89
5230	116
2148	222
2226	272
9901	185
5545	392
6169	138
12926	590
9129	321
2226	280
8480	163
5819	253
2363	408
1335	140
2464	364
2924	272
4318	231
7863	6
6366	25
243	121
1564	432
2323	75
4769	138
4566	200
6441	399
12082	543
5092	287
5630	213
9685	397
6395	200
1335	631
14307	158
5120	140
6169	543
6366	89
8634	193
9795	169
1919	140
13987	418
15874	201
15253	205
8088	393
8651	132
9319	57
8634	222
6169	28
5947	445
9172	368
6419	321
1564	27
4299	161
12046	336
96	188
7978	421
10832	335
12971	197
12608	445
1984	168
4024	413
14307	327
875	489
2407	289
14622	203
2226	209
8634	532
2226	392
1039	187
2464	365
5410	136
2226	152
4270	486
154	201
1273	152
12046	235
13987	190
12298	4
11352	23
12811	491
12372	285
9052	308
10952	188
5630	341
2706	490
6169	280
14307	392
9678	310
2226	208
13759	335
1919	264
6418	632
14622	272
9084	6
6529	309
14422	490
7489	187
1039	202
13249	421
2815	590
9185	325
13992	185
12298	163
6441	107
14492	185
8669	257
15354	271
5630	214
2706	94
12711	188
8669	250
2844	69
13409	269
6441	25
11999	364
13987	213
8634	257
14299	489
6211	143
2148	46
10736	138
7052	325
5211	242
6093	390
10315	283
1078	34
15052	126
2148	143
5971	140
3261	143
12353	140
596	399
10019	198
2924	491
3880	354
7834	192
14992	491
8634	136
15792	444
2226	363
2835	440
9100	517
5089	618
1386	413
3773	491
1031	311
6836	200
3911	448
6441	163
5545	105
10315	196
3033	532
4088	321
2407	140
9129	308
2544	321
14037	264
6169	285
12082	269
14307	168
10427	4
5971	143
3033	216
6441	287
14782	500
1386	341
10898	439
11265	443
3824	445
3028	354
5120	502
8634	402
7788	113
9046	224
9129	309
